01ke4644.copc.laz,Qma8noDqgtAg2c5SC8QrHHDpsFi8y5aHdqU7hfAMmVPtaa,187043044,178.38 MiB
01ke4731.copc.laz,QmRgfnwXi1v9He6Eit9ys61d9Z9ntfS7QdHMASjHH7XF8t,16590662,15.82 MiB
01ke4733.copc.laz,QmcMCuje7V1FEEduAiJ4d8nFgUCQfwxyJsPyvMNWXFd31Y,69382642,66.17 MiB
01ke4734.copc.laz,QmZrNWLCDHnbKcwqEtRwYF9mddyUNB1sTrAKBK3iXmRqSQ,26764849,25.52 MiB
01ke4743.copc.laz,QmYZRrBJrQ7QJSZhBGTFgsJgMR9vaDATeFaf5DdJtrQNaf,42669041,40.69 MiB
01ke5622.copc.laz,QmdhdNSCARAMJsAZLhFyrcjNJcNxKCNfnqCsyLNZaQShD3,251541364,239.89 MiB
01ke5624.copc.laz,QmQMt4H17Z1JsXcGrj5VdGmWgk12TaKmyA7xaKKEFJzPYT,256790980,244.89 MiB
01ke5711.copc.laz,QmXFNBrw3orTGZpQnnSKaUSd26b9wQWBwBpYRuF7cCxqfs,200652725,191.36 MiB
01ke5712.copc.laz,Qmd5n2oqHs5CsECYYv18hmQyZNNFQVmGUxRs3MEdBnffEm,152665900,145.59 MiB
01ke5713.copc.laz,QmYsShiUq9a7RqnQ5kNTbboZjPndtti9mFpQfQSNoQTEKv,234911350,224.03 MiB
01ke5714.copc.laz,QmTJEMHsqMW82NegJAqR5Q9HykyaKkKEBqEwfyRJbhSweh,235151974,224.26 MiB
01ke5721.copc.laz,QmYs5GRx3YZw8ir3FikbvZn1BGPvU4H8khwgv5yMwSCbRj,11849089,11.30 MiB
01ke5723.copc.laz,QmdLafwmWyccWqzR394nD9SfHMerqhonRDES5HPFqBau4m,110811897,105.68 MiB
01ke5724.copc.laz,QmSyXoomKDx2Qq1LX6EQjL4YGtowRZyi7swcqGqWGmnmWL,719853,702.98 KiB
01ke5731.copc.laz,QmPehgLAvaw2qv8fYJ4bszxHUCK7TqVGqguc3wLEHrJFgM,238170032,227.14 MiB
